No;Judul;Penulis;Abstract
11;The use of drone for rice cultivation in Malaysia: Identification of factors influencing its farmers? acceptance;"Azril Shazwan Azizul, Darius El Pebrian ? , Samihah Mustaffha, Siti Mariam Shamsi, Mohd. Khairy Zahari, Nur Aziera Ruslan";"This study aims to identify factors influencing farmers? acceptance of the use of drone for rice cultivation in Malaysia. A total of 204 farmers who hired custom operator of drone at rice granaries in Kota Bharu Utara district, Kelantan state of Malaysia were selected as the samples in this study. Face-to-face survey technique was employed to collect data form the sampled farmers. Factor analysis was utilized to examine the scaled responses. The findings of this study have successfully identified 15 factors that have correlation with the farmers? acceptance of the use of drone in the study area. However, 2 out of 15 factors, namely ?drone roles? and ?drone handling skill? were highly significant. A rank of these factors was also successfully established from this study. Knowing of these factors is valuable for improving management of the use of drone for rice cultivation that suit to the real-farmers? environment in efforts of achieving economic and technical satisfactions of the field operation."
12;Multifaceted applicability of drones: A review;"Matthew Ayamga a,* , Selorm Akaba b , Albert Apotele Nyaaba";"Technology is playing its part in globalization and the drone technology is such a technology with a usage ever increasing in a vast range of disciplines such as agriculture, health and military. Drones can provide real-time data on farms that enable farmers to make informed decisions regarding farm inputs usage. Also, they can be used to aerially deliver medical supplies like blood, vaccines, drugs, and laboratory test samples during health emergencies to remote areas in developing countries. Military drones also help in security and surveillance on the enemies? movements which then helps select for target killings. Though beneficial, drones can cause injuries and damages to people and properties if the user is not trained and if there is a component failure during flight. Drones could also be hijacked by an extremist and divert the payload for their self-interest. In this paper, the Strength, Weaknesses, Opportunities, and Threats analysis of the current developments of agricultural, medical, and military drones are presented."
13;A trans-theoretical model for the adoption of drones by large-scale German farmers;"Marius Michels* , Cord-Friedrich von Hobe, Oliver Musshoff";"To analyse the adoption of drones in agriculture as the latest tool added to the set of precision agriculture technologies, this paper makes use of a novel application of the trans-theoretical model of behavioural change by analysing a sample of 167 large-scale German farmers collected in 2019. The model provides a gradual measure of farmers decision making with respect to the adoption of drones, which gives more detailed insight into farmers adoption processes than the more common approach of applied binary classifications. Ordinal logit regression results show that, among other factors, farmers age, precision agriculture technology literacy and farm size affect farmers? adoption process. Thus, this paper contributes to the literature by identifying key determinants of the drone adoption process in agriculture. Furthermore, this study provides information about the fields of drone application as well as reasons that oppose the usage of drones by farmers. The results are of interest for policy makers and suppliers of drones."
14;Improved airborne computer system strategy for swarm drones flying based on skybrush suite and inspired technique;"Mohammed Najm Abdullah a,* , Khulood Eskander Dagher b , Sondous Sulaiman Wali a";"In airborne swarm drones, there are a significant impact on daily life as a result of air advances in electronic communications. There are different types of UAVs (Unmanned Air Vehicles) being developed as possible. In this research, the ARDUPILOT or the so-called ARDUCOPTER is simulated as firmware with a MAV link (Micro Air Vehicle Communication Protocol) that is connected to the Skybrush through the communication layer. Where a swarm of drones consisting of 20 drones was studied and 3D displays were created in the drones taking into account the frequency of 2.4 GHz and the distance between the drones to avoid collisions that occur in the paths of the drones by using PSO (Particle Swarm Optimization) algorithm which happens in the swarm of drones. The trajectory of drone 5493 and a number of ports 9195 were obtained from the proposed system."
15;Virtual Electromagnetic Environment Modeling Based Data Augmentation for Drone Signal Identification;"Hanshuo Zhanga,b,, Tao Lia,* , Yongzhao Lia,* , Zhijin Wenb";"Radio frequency (RF)-based drone identification technologies have the advantages of long effective distances and low environmental dependence, which has become indispensable for drone surveillance systems. However, since drones operate in unlicensed frequency bands, a large number of co-frequency devices exist in these bands, which brings a great challenge to traditional signal identification methods. Deep learning techniques provide a new approach to complete end-to-end signal identification by directly learning the distribution of RF data. In such scenarios, due to the complexity and high dynamics of the electromagnetic environments, a massive amount of data that can reflect the various propagation conditions of drone signals is necessary for a robust neural network (NN) for identifying drones. In reality, signal acquisition and labeling that meet the above requirements are too costly to implement. Therefore, we propose a virtual electromagnetic environment modeling based data augmentation (DA) method to improve the diversity of drone signal data. The DA method focuses on simulating the spectrograms of drone signals transmitted in real-world environments and randomly generates extra training data in each training epoch. Furthermore, considering the limited processing capability of RF receivers, we modify the original YOLOv5s model to a more lightweight version. Without losing the identification performance, more hardware-friendly designs are applied and the number of parameters decreases about 10-fold. For performance evaluation, we utilized a universal software radio peripheral (USRP) X310 platform to collect RF signals of four drones in an anechoic chamber and a practical wireless scenario. Experiment results reveal that the NN trained with augmented data performs as well as that trained with practical data in the complex electromagnetic environment."
16;Drone remote sensing in urban forest management: A case study;"Mia T. Wavrek a , Eric Carr b , Sharon Jean-Philippe c , Michael L. McKinney d,";"We applied drone remote sensing to identify relationships between key forest health indicators collected in the field and four Vegetative Indices (VI) to improve conservation management of urban forests. Key indicators of urban forest health revealed several areas of conservation concern including a majority of overstory trees in moderate to severe decline, canopy gaps, anthropogenic dumping, vines overtaking the forest canopy, and invasion by non-native plant species. We found plot-level vegetation index (VI) values of NDVI, NDRE, GNDVI, and GRVI calculated from drone imagery are significantly related to the impact of several of these ecological concerns as well as metrics of forest composition and equitability. Despite the small number of plots, too few to provide a general predictive framework, these findings indicate a substantial potential for drone remote sensing as a lowcost, efficient tool for urban forest management. We discuss how our findings can advance urban forest management and discuss challenges and opportunities for future drone VI research in urban natural areas."
17;Drone imagery to create a common understanding of landscapes;"Fritz Kleinschroth a,* , Kawawa Banda b , Henry Zimba b,c , Stefaan Dondeyne d , Imasiku Nyambe b , Simon Spratley e , R. Scott Winton";"Negotiated solutions among contrasting land use interests in the nexus of water, energy, food and ecosystems require cooperation between actors with different viewpoints and backgrounds. We suggest aerial imagery and videos, captured by drones, to be ?boundary objects?, easily interpretable landscape representations that might create a common understanding across stakeholders through their universal interpretability. We collected drone imagery and videos from different angles of a wide range of landscapes in Zambia, showing agricultural areas, forests, wetlands and water infrastructure. Then, we took the imagery back to the field to probe the perceptions of multiple stakeholders, including staff from both governmental and non-governmental organizations, hydropower operators, small- and large-scale farmers. In focus group discussions, we assessed the interpretability of oblique images, taken at an angle by a video drone, compared to nadir (vertical) imagery from Google Earth and from a high-end mapping drone. We show that oblique images produced better identification results across all groups of stakeholders, but especially from small-scale farmers, suggesting this type of imagery is helpful to empower people who lack previous experience in interpreting nadir images. Overall, the appreciation of the aesthetic value and the perceived professional benefits of drone imagery are high, but technical and legal barriers impede a wider adoption of the technology. While we highlight ethical concerns and technical limitations, we suggest that conservationists and environmental planners could benefit from a critical use of affordable video drones so as to produce intuitive landscape representations useful for more effective multi-stakeholder collaborations."
18;Research on modelling accuracy and test validation for biomimetic flapping-wing drone;Mingyang Huang;"Scientific advances in drone design have enabled a wide range of services, underpinned by different drones that have various aerodynamic performance. However, research to date is mostly limited focusing on conventional drones. Unconventional drones such as biomimetic drones attracted much attention due to their advantages, including precise point accessibility, altitude manoeuvrability, and no topography restriction for landing. To model the flight dynamics for biomimetic drones, the modelling accuracy is the key indicator to be determined thus, it requires further analysis. After reviewing previous research, this paper develops a more accurate model by using appropriate methods for error mitigation. To reflect the flapping pattern of biomimetic drones, this model adopts an advanced numerical method (i.e., a quasi-steady model) to calculate their aerodynamics. The aerodynamics is also affected by the wind (acting on the drone), determined via wind-generated lift and drag terms. Therefore, this paper develops a combined aerodynamic and wind model applicable to biomimetic drones including flapping-wing drones with the following contributions. Comparative analysis discovers that the difference of drones is unsteady flows thus, a rigorous physical model is built for flow modelling, and its novelty is a quasi-steady method to realistically quantify drone aerodynamics and wind influence. This model is demonstrated by a valid case study of the most stringent application in relation to the motion of a novel flapping-wing drone. The motion simulation of such drone is performed, and then a three-dimensional engineering prototype is built for flight test validation. This case study is implemented and the modelling performance in terms of accuracy is quantified, validating that the new model increases modelling accuracy based on research to date"
19;Synchronized truck and drone routing under disastrous conditions (case study: Urban thoroughfares disinfection);"Hamed Manshadian , Mohsen Sadegh Amalnick * , S. Ali Torabi";"Spraying unmanned aerial vehicles (UAVs) are widely utilized in the agricultural sector for various field operations including irrigation as well as fertilizing and pesticides applications. In this paper, we explore the application of spraying UAVs to neutralize environmental contamination or infections in crises such as outbreak of epidemics. Given the limitations of current UAV technologies and their operational constraints in urban areas, such crisis management operations are carried out in collaboration with ground vehicles. Consequently, a novel mixed-integer linear programming (MILP) model is proposed to facilitate the collaboration of ground vehicles with UAVs. A hybrid heuristic algorithm consisting of simulated annealing and tabu search is also developed to solve the large-size instances efficiently. Finally, the applicability of the model and its solution approach are validated using real-world data."
20;A multiple-drone arc routing and mothership coordination problem;"Lavinia Amorosi a,*,1 , Justo Puerto b,1 , Carlos Valverde";"This paper considers the optimisation problems that arise in coordinating a tandem between a mothership vehicle and a fleet of drones. Each drone can be launched from the mothership to perform a task. After completing their tasks, the drones return to the mothership to recharge their batteries and be ready for a new task. Tasks consist of (partially) visiting graphs of a given length to provide some services or to carry out a surveillance/inspection activity. The goal is to minimise the overall time of travelling carried out by the mothership (makespan) while satisfying some requirements in terms of fractions of visits to the target graphs. In all cases, we develop exact formulations resorting to mixed-integer second-order cone programmes that are compared on a testbed of instances to assess their performance. We also develop a matheuristic algorithm that provides reasonable solutions. Computational experiments show the usefulness of our methodology in different scenarios"
21;Drone Audio recognition based on Machine Learning Techniques;"Giovanni Lacavaa,* , Francesco Mercaldob,a,* , Fabio Martinellia , Antonella Santoneb";"Unmanned aerial vehicles (drones) are widely available on today?s market for use for use both as a hobby and to meet specific industrial needs, such as agriculture or parcel transport. This intensive use in various areas has also led to an increase in the illegitimate and criminal use of them, which has led to an interest in identification and detection techniques in the academic world. To address this topic, we propose a method that automates drone detection processes using their acoustic characteristics with different machine learning algorithms. In this study, we show the advantage of using machine learning techniques for drone detection. Experimental analysis demonstrates that the proposed method is promising in drone detection."
22;Current summary of the evidence in drone-based emergency medical services care;"Nathan B. Roberts a, *, Emily Ager a, *, Thomas Leith b , Isabel Lott b , Marlee Mason-Maready c , Tyler Nix d , Adam Gottula a,e , Nathaniel Hunt a , Christine Brent a";"Interventions for many medical emergencies including cardiac arrests, strokes, drug overdoses, seizures, and trauma, are critically time-dependent, with faster intervention leading to improved patient outcomes. Consequently, a major focus of emergency medical services (EMS) systems and prehospital medicine has been improving the time until medical intervention in these time-sensitive emergencies, often by reducing the time required to deliver critical medical supplies to the scene of the emergency. Medical indications for using unmanned aerial vehicles, or drones, are rapidly expanding, including the delivery of time-sensitive medical supplies. To date, the drone-based delivery of a variety of time-critical medical supplies has been evaluated, generating promising data suggesting that drones can improve the time interval to intervention through the rapid delivery of automatic external defibrillators (AEDs), naloxone, antiepileptics, and blood products. Furthermore, the improvement in the time until intervention offered by drones in out-of-hospital emergencies is likely to improve patient outcomes in time-dependent medical emergencies. However, barriers and knowledge gaps remain that must be addressed. Further research demonstrating functionality in real-world scenarios, as well as research that integrates drones into the existing EMS structure will be necessary before drones can reach their full potential. The primary aim of this review is to summarize the current evidence in drone-based Emergency Medical Services Care to help identify future research directions"
23;Multiple traveling salesperson problem with drones: General variable neighborhood search approach;"Baybars ?Ibro?skaa , Selin Ozpeynirci ? b , Ozg?ur ? Ozp";"A key factor to consider in the development of new technologies in a number of fields is the use of unmanned aerial vehicles. This rapidly developing technology is used in military, communication, health, mapping, agriculture and transportation fields. The importance of cargo transportation has grown due to the growth of e-commerce. Currently, with advancing technology, and the effect of the pandemic, purchases are increasingly made over the internet. For cargo transporters, this situation leads to an increase in the number of destination points, in distances traveled, and in the delivery frequency, and a decrease in the package sizes. As a result, the planning of transportation has become increasingly complex. One solution is to make greater use of unmanned aerial vehicles in this sector, and to reduce reliance on trucks through appropriate planning. This involves two aspects: the unmanned aerial vehicle delivering to a point, while the cargo truck delivers to a separate point. In this study, we consider a multiple travelling salesperson problem simultaneously using multiple trucks and unmanned aerial vehicles for package delivery. We develop a general variable neighborhood search algorithm, and compare the results with the existing studies in the literature. Computational experiments show that our approach is able to find highly satisfactory solutions in reasonable time, and outperforms the existing methods in terms of best solution, average solution and solution time in majority of the instances."
24;A systematic literature review on the main factors for public acceptance of drones;"Hullysses Sabino a,* , Rodrigo V.S. Almeida b , Lucas Baptista de Moraes b , Walber Paschoal da Silva b , Raphael Guerra c , Carlos Malcher b , Diego Passos c,d , Fernanda G.O. Passos b,";"Drones have become usual among the civilian population and are enabling cities to be more interconnected and intelligent. However, few studies about the public?s opinion on drones have been conducted and those are usually particular for a certain country or region. Knowledge of public opinion is crucial for guiding government policies, particularly on new technologies. This work aims to conduct a systematic review to identify the civilian public attitude toward drones and to assess the main factors that influence opinion. A total of 30 studies were included in the review, analyzing public opinion regarding drones in 15 countries. The review shows that public opinion is influenced by socio-cultural aspects, the main perceived risks and the main expected benefits. Sociocultural factors were related to demographic aspects, such as geographic location, technological expertise, and familiarity with drone-related terminology. The main perceived risks included drone misuse, privacy disrespect, malfunction, damage, safety, noise and legal liability. The main expected benefits, such as application flexibility, emergency response and monitoring, cost reduction and safety, are also described. This review may orient future qualitative and quantitative research on public acceptance of drones and guide researchers and decision makers on drone use by describing the influencing factors on the population?s perceived benefits and risks."
25;An exact algorithm for the two-echelon vehicle routing problem with drones;"Hang Zhou a , Hu Qin a , Chun Cheng b,* , Louis-Martin Rousseau c";"This paper studies a new variant of the vehicle routing problem with drones, i.e., the twoechelon vehicle routing problem with drones, where multiple vehicles and drones work collaboratively to serve customers. Drones can perform multiple back-and-forth trips when their paired vehicle stops at a customer node, forming a two-echelon network. Several practical constraints such as customers? delivery deadlines and drones? energy capacity are considered. Different from existing studies, we treat the number of drones taken by each vehicle as a decision variable instead of a given parameter, which provides more flexibility for planning vehicle and drone routes. We first formulate this problem as a mixed-integer linear programming model, which is solvable by off-the-shelf commercial solvers. To tackle instances more efficiently, we next construct a set-partitioning model. To solve it, an exact branch-and-price algorithm is proposed, where a bidirectional labeling algorithm is used to solve the pricing problem. To speed up the algorithm, a tabu search algorithm is first applied before the exact labeling algorithm for finding desired columns in each iteration of the column generation process. Extensive numerical tests show that our algorithm can solve most instances within 25 customers to optimality in a short time frame and some instances of 35 customers to optimality within a three-hour time limit. Results also demonstrate that the allocation decisions of drones can help save the duration of all routes by 3.44% on average for 25-customer instances, compared to the case of fixing the number of paired drones on each vehicle. In addition, sensitivity analyses show that multiple strategies, e.g., adopting batteries of a higher energy density and developing faster drones, can be applied to further improve the delivery efficiency of a truck?drone system."
26;Optimal waypoint assignment for designing drone light show formations;"Dharna Nar * , Radhika Kotecha";"Advancements in technology and new drone policies have boosted the adoption of drones by various industries. With active research and development, ingenious applications using drones are being developed. One such innovative and creative application of swarm drones is the drone light show. Light shows are generally performed outdoors in a dedicated clear open air space, which attracts the usage of drones for the execution. A fleet of multiple UAVs illuminates the night sky with picturesque performances in a synchronized manner. Use of drones in light shows provides an eco-friendly and reusable alternative for unique ways of advertisements, celebrations, storytelling, and entertainment. To choreograph the performance of swarm drones means allocating waypoints to each drone for every formation and the complexity of designing increases with the number of drones. An intelligent optimal assignment system is much required to allocate waypoints to drones for each transition in order to create formations. We propose a static swarm-intelligence-based assignment approach named Constrained Hungarian Method for Swarm Drones Assignment (CHungSDA) for optimally assigning multi-UAVs to waypoints. This approach uses Hungarian algorithm as a base with added constraints specific to the targeted application. Several simulations of the proposed approach ? carried out for different designs have shown promising results. The work will be of best reference to the UAV manufacturers for their functional design of UAVs and development of Ground Control Station Software to communicate with multiple UAVs, along with other companies that aim to create visual illustrations using UAVs."
27;"A drone hop from the local shop? Where could drone delivery as a service happen in Europe and the USA, and how many people could benefit from it?";"Jean-Philippe Aurambout * , Konstantinos Gkoumas, Biagio Ciuffo";"The rapid technological and regulatory evolution in the field of autonomous unmanned aerial vehicles (UAV or drones) may soon open the way for their deployment in the last mile delivery of products. This has the potential to decrease delivery costs, reduce transport externalities caused by road traffic and reduce missed-deliveries. It could thus become a disruptor to the parcel delivery industry and for this reason several transport and delivery companies are piloting experiments involving drones. Yet a detailed analysis of the market potential of this system is still only partly available in the literature. To bridge this gap, this paper tries to quantify the proportion of the population, both in Europe and the USA that could benefit from drone-delivery services. Results indicate that under the conditions considered drone delivery services could be financially viable in the Europe and in the USA, where they could serve between 16 and 43% and between 32 and 60% of the population respectively. These results indicate the viability of this industry in the near future, highlighting that the existing geographical distribution of populations has a significant influence and will likely drive the choice of the first deployments."
28;Sensor optimization for altitude estimation of spraying drones in vineyards;Thomas Severin * Dirk soffker;"Current drones find a variety of applications, including in viticulture. The application of pesticides in steep slope viticulture is necessary to control pathogens. Due to the characteristics of the applied liquids, high demands are placed on the robustness and reliability of the drone and the selected sensors. For the application of the particle-laden fluid, a specific altitude is useful, which should be realized by a flight attitude control system. Steep slope situations generate increased demands on accurate relative altitude estimation. This study compares various low-cost sensors for ground distance measurement suitable for spray drones. Using the overflight of a vineyard as an example, the problem is demonstrated, sensor data are recorded for evaluation, and suitable parameters and strategies are set. Sensor signals based on ultrasound, range radar, and Doppler radar are filtered using a Kalman filter. Various measures are presented to optimize the estimated altitude to improve the reliability in terms of relative altitude estimation. The presented algorithm will be implemented on a companion computer parallel to the flight controller."
